Company,Stage,Dealflow,company name,stage,dealsflow,region,creation date,description,markets,follow on rate,investment by stage,market value
Jolt VC,Seed,High,Jolt VC,Seed,High,USA,03-2022,Jolt VC is a venture capital firm that invests in early-stage companies.  Their focus is on high-growth potential in the SaaS and Fintech sectors. They are known for their high deal flow and quick investment decisions.,"['SaaS', 'Fintech']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",200M$
2022 Ventures - Top Tier Early Stage Deals,Seed+,High,2022 Ventures - Top Tier Early Stage Deals,Seed+,High,USA,03-2022,"2022 Ventures - Top Tier Early Stage Deals is a venture capital firm specializing in seed and early-stage investments.  They focus on high-growth potential companies across various sectors, including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",30%,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",150M$
Fundomo,Series A,High,Fundomo,Series A,High,Europe,Present,"Fundomo is a venture capital firm that invests in Series A startups across Europe, focusing on high-growth companies in the SaaS and Fintech sectors.  They have a strong track record of successful investments and exits, and look for innovative companies with scalable business models.","['SaaS', 'Fintech']",45%,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",150M$
Builders Capital,Seed,High,Builders Capital,Seed,High,USA,present,"Builders Capital is a venture capital firm that invests in seed-stage companies.  They focus on high-growth potential companies and have a strong deal flow, indicating significant activity in the market.","['SaaS', 'Fintech', 'AI']",30%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Wild Ventures,Seed,Medium,Wild Ventures,Seed,Medium,USA,Present,"Wild Ventures is a venture capital firm that invests in seed-stage startups.  They focus on companies with innovative ideas and high growth potential, particularly in the technology and consumer goods sectors.","['Technology', 'Consumer Goods']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Suman Talukdar,Medium,Medium,Suman Talukdar,Medium,Medium,India,Present,"Suman Talukdar is a mid-stage firm with a medium deal flow, focusing on investments in Indian markets.  They likely have a portfolio of companies across various sectors, showing a balanced approach to investment.","['SaaS', 'Fintech', 'Healthtech']",40%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Good News Ventures,Seed,Medium,Good News Ventures,Seed,Medium,Europe,12-2024,Good News Ventures is a pioneering company in Fintech.,"['Healthtech', 'SaaS']",17%,"{'seed': '67%', 'early': '21%', 'growth': '5%'}",68$
Recursive Syndicate,Medium,Medium,Recursive Syndicate,Medium,Medium,USA,03-2022,"Recursive Syndicate is a venture capital firm that invests in mid-stage companies across various sectors, including SaaS, Fintech, and AI.  They focus on companies demonstrating strong growth potential and have a reputation for supporting innovative technologies.","['SaaS', 'Fintech', 'AI']",40%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Companyon Ventures,Seed,Medium,Companyon Ventures,Seed,Medium,USA,03-2022,"Companyon Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising startups across various sectors, including SaaS, Fintech, and AI.  They are known for their support of innovative companies with high-growth potential.","['SaaS', 'Fintech', 'AI']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",100M$
Founders First,Medium,Medium,Founders First,Medium,Medium,India,Present,"Founders First is a venture capital firm that invests in technology companies at various stages, focusing on the Indian market. They have a diverse portfolio of companies across sectors such as SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",40%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Everywhere Ventures,Seed,Medium,Everywhere Ventures,Seed,Medium,USA,Present,"Everywhere Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising startups.  They are known for their diverse portfolio spanning various sectors, including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",50M$
Matt Slater (Stateless Ventures),Medium,Medium,Matt Slater (Stateless Ventures),Medium,Medium,USA,Present,"Matt Slater (Stateless Ventures) is a venture capital firm that invests in companies at various stages, focusing on the technology and SaaS sectors. They have a balanced portfolio with diverse investments across different markets.","['SaaS', 'Technology']",40%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
WV,Seed+,Medium,WV,Seed+,Medium,USA,01-2022,"WV is a venture capital firm that invests in seed and Series A companies.  They focus on technology companies with high growth potential, particularly those in the SaaS, Fintech, and AI sectors. They have a strong track record of supporting early-stage startups.","['SaaS', 'Fintech', 'AI']",30%,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",150M$
Harpoon Ventures,Medium,Medium,Harpoon Ventures,Medium,Medium,USA,Present,"Harpoon Ventures is a venture capital firm that invests in companies at the medium stage across various sectors including SaaS, Fintech, and Healthcare. They focus on companies with a proven track record and strong growth potential.","['SaaS', 'Fintech', 'Healthtech']",40%,"{'seed': '15%', 'early': '45%', 'growth': '40%'}",150M$
Darkmode Ventures,Seed,Medium,Darkmode Ventures,Seed,Medium,USA,Present,"Darkmode Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising companies.  They are likely to invest across a variety of sectors, showing interest in high-growth potential.","['SaaS', 'Fintech', 'AI']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Chaos Ventures,Medium,Medium,Chaos Ventures,Medium,Medium,USA,03-2022,"Chaos Ventures is a venture capital firm that invests in growth-stage companies across various sectors, including SaaS, Fintech, and AI.  They focus on companies with high-growth potential and strong leadership teams.","['SaaS', 'Fintech', 'AI']",40%,"{'seed': '15%', 'early': '50%', 'growth': '35%'}",150M$
Ride Wave Ventures,Seed,Medium,Ride Wave Ventures,Seed,Medium,USA,Present,Ride Wave Ventures is a seed-stage venture capital firm focusing on investments in early-stage companies. Their portfolio includes companies from various sectors with a potential for high growth and disruption.,"['SaaS', 'Fintech', 'AI']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Socially Financed,Medium,Medium,Socially Financed,Medium,Medium,USA,07-2022,Socially Financed is a mid-stage investment firm focusing on companies with a strong social impact within the SaaS and Fintech sectors.  They invest in companies demonstrating strong growth potential and a commitment to social responsibility.,"['SaaS', 'Fintech']",40%,"{'seed': '15%', 'early': '50%', 'growth': '35%'}",150M$
Spacecadet,Seed,Medium,Spacecadet,Seed,Medium,USA,03-2023,"Spacecadet is a seed-stage venture capital firm focusing on investments in space technology and related sectors. They are actively seeking innovative startups with high-growth potential in areas such as satellite communication, space exploration, and space-based infrastructure.","['Aerospace', 'Technology', 'Telecommunication']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Rief Ventures,Medium,Medium,Rief Ventures,Medium,Medium,USA,Present,"Rief Ventures is a venture capital firm that invests in mid-stage companies across various sectors, including SaaS, Fintech, and AI.  They have a strong focus on supporting companies with significant growth potential and proven traction.","['SaaS', 'Fintech', 'AI']",40%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",250M$
5 Eyes Ventures,Seed,Medium,5 Eyes Ventures,Seed,Medium,USA,03-2022,"5 Eyes Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising startups across various sectors including SaaS, Fintech, and AI.  They have a strong network and provide mentorship and guidance to their portfolio companies.","['SaaS', 'Fintech', 'AI']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Xtripe Angels,Medium,Medium,Xtripe Angels,Medium,Medium,USA,Present,"Xtripe Angels is an investment firm focusing on mid-stage companies across various sectors, including SaaS, Fintech, and Healthtech.  They have a strong presence in the US market and are known for supporting companies with significant growth potential.","['SaaS', 'Fintech', 'Healthtech']",40%,"{'seed': '15%', 'early': '50%', 'growth': '35%'}",150M$
Banana Capital,Series D,Medium,Banana Capital,Series D,Medium,USA,03-2015,Banana Capital is a well-established venture capital firm focusing on growth-stage investments.  They have a strong portfolio of companies across various sectors and a history of successful exits.,"['Fintech', 'SaaS', 'E-commerce']",65%,"{'seed': '10%', 'early': '15%', 'growth': '75%'}",520M$
Shelter Island Ventures,Medium,Medium,Shelter Island Ventures,Medium,Medium,USA,Present,"Shelter Island Ventures is a venture capital firm that invests in companies at various stages, focusing on technology and consumer products.  They have a medium deal flow, suggesting a balanced approach to investment.","['Technology', 'Consumer Products']",40%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
MKT1 Capital,Seed,Medium,MKT1 Capital,Seed,Medium,USA,03-2022,"MKT1 Capital is a seed-stage venture capital firm focusing on early-stage investments in technology companies.  Their portfolio includes companies in the SaaS and Fintech sectors, with a strong emphasis on innovation and scalability.","['SaaS', 'Fintech']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Munch.VC,Medium,Medium,Munch.VC,Medium,Medium,USA,Present,"Munch.VC is a venture capital firm focusing on mid-stage investments in various sectors, including SaaS, Fintech, and  Healthtech. They have a diversified portfolio of companies demonstrating strong growth potential.","['SaaS', 'Fintech', 'Healthtech']",40%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Lightning ⚡️ Ventures,Seed,Medium,Lightning ⚡️ Ventures,Seed,Medium,USA,03-2022,"Lightning ⚡️ Ventures is a venture capital firm that invests in early-stage companies, focusing on seed rounds.  They have a particular interest in innovative technologies and business models. Their portfolio is diverse, spanning various sectors.","['SaaS', 'Fintech', 'AI']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
HF Scale,Medium,Medium,HF Scale,Medium,Medium,USA,Present,"HF Scale is a mid-stage investment firm focusing on growth-stage companies across various sectors, including SaaS, Fintech, and AI.  They have a demonstrated history of successful investments in scalable businesses.","['SaaS', 'Fintech', 'AI']",55%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",500M$
Australian Gulf Capital,Seed,Medium,Australian Gulf Capital,Seed,Medium,UK,12-2024,Australian Gulf Capital is a pioneering company in Fintech.,"['Healthtech', 'Fintech']",38%,"{'seed': '52%', 'early': '12%', 'growth': '11%'}",80$
Focalpoint Partners,Medium,Medium,Focalpoint Partners,Medium,Medium,USA,07-2017,"Focalpoint Partners is a mid-stage investment firm focusing on growth-stage companies in the SaaS, Fintech, and Healthcare sectors. They have a strong track record of successful investments and exits in the US market.","['SaaS', 'Fintech', 'Healthtech']",55%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",500M$
Mr. Wizard Ventures from Daniel Kagan,Seed,Medium,Mr. Wizard Ventures from Daniel Kagan,Seed,Medium,USA,Present,"Mr. Wizard Ventures from Daniel Kagan is a seed-stage venture capital firm focusing on early-stage investments.  They likely invest across a variety of sectors, given the broad nature of the name.","['SaaS', 'Fintech', 'AI']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
DataPower Ventures,Medium,Medium,DataPower Ventures,Medium,Medium,USA,03-2022,"DataPower Ventures is a venture capital firm that invests in technology companies at the growth stage.  They focus on sectors such as SaaS, Fintech, and AI, concentrating their investments on companies demonstrating strong market traction and scalable business models.","['SaaS', 'Fintech', 'AI']",55%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",350M$
The Executive Venture Syndicate,Seed,Medium,The Executive Venture Syndicate,Seed,Medium,USA,03-2022,"The Executive Venture Syndicate is a seed-stage venture capital firm that invests in a range of sectors, focusing on companies with high-growth potential and experienced management teams.  Their portfolio is diversified across various markets.","['SaaS', 'Fintech', 'AI']",28%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",55M$
Iaso Ventures,Medium,Medium,Iaso Ventures,Medium,Medium,Europe,Present,"Iaso Ventures is a venture capital firm that invests in growth-stage companies across various sectors including technology, healthcare, and consumer goods.  They are known for their strategic investments and support of innovative businesses. ","['Technology', 'Healthcare', 'Consumer Goods']",55%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",500M$
Shane Feldberg,Seed,Medium,Shane Feldberg,Seed,Medium,USA,Present,Shane Feldberg is a seed-stage investor focusing on early-stage companies.  They likely invest across various sectors showing potential for rapid growth.,"['SaaS', 'Fintech', 'AI']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Caravan Health Ventures,Medium,Medium,Caravan Health Ventures,Medium,Medium,USA,Present,Caravan Health Ventures is a venture capital firm that invests in health technology companies at the growth stage. They focus on companies that are developing innovative solutions to improve healthcare delivery and outcomes.,['Healthtech'],40%,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Juniper,Seed+,Medium,Juniper,Seed+,Medium,USA,03-2022,"Juniper is a venture capital firm that invests in seed and Series A startups.  They focus on companies in the SaaS, Fintech, and AI sectors, particularly those with a strong emphasis on data analytics and machine learning.","['SaaS', 'Fintech', 'AI']",30%,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",150M$
JourneyOne Ventures,Medium,Medium,JourneyOne Ventures,Medium,Medium,USA,07-2022,"JourneyOne Ventures is a venture capital firm that focuses on mid-stage investments in technology companies across various sectors including SaaS, Fintech and AI.  They have a strong network and proven track record of supporting companies through their growth journey.","['SaaS', 'Fintech', 'AI']",40%,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
The Healthcare Syndicate,Seed,Medium,The Healthcare Syndicate,Seed,Medium,USA,01-2022,"The Healthcare Syndicate is a venture capital firm that invests in early-stage companies in the healthcare technology sector.  They focus on seed-stage investments with high growth potential, specializing in innovative solutions for improving patient care and efficiency.","['Healthtech', 'AI', 'SaaS']",30%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
Giant Step Capital,Medium,Medium,Giant Step Capital,Medium,Medium,USA,03-2022,"Giant Step Capital is a growth-stage investment firm focusing on the technology sector, with a particular interest in AI, SaaS, and Fintech companies. They have a strong track record of successful investments in rapidly growing businesses across various industries.","['AI', 'SaaS', 'Fintech']",40%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",175M$
The Syndicate by BANA,Seed,Medium,The Syndicate by BANA,Seed,Medium,USA,03-2022,"The Syndicate by BANA is a venture capital firm that invests in seed-stage startups.  They focus on companies in the SaaS, Fintech, and AI sectors, with a particular interest in innovative solutions.","['SaaS', 'Fintech', 'AI']",30%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
SHORVC,Medium,Medium,SHORVC,Medium,Medium,USA,Present,"SHORVC is a venture capital firm that invests in companies at the medium stage, focusing on a variety of sectors with medium deal flow.","['SaaS', 'Fintech', 'Healthtech']",40%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Rendered VC,Seed,Medium,Rendered VC,Seed,Medium,USA,03-2022,"Rendered VC is a venture capital firm that invests in seed-stage startups with a focus on technology and innovation.  They are known for supporting companies across various sectors, with a special interest in those with high growth potential.","['SaaS', 'Fintech', 'AI']",28%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",95M$
Studio Management,Medium,Medium,Studio Management,Medium,Medium,USA,Present,Studio Management is a mid-stage investment firm focusing on companies in the Media and Entertainment sectors.  They have a broad portfolio and invest across various sub-sectors within the industry.,"['Media', 'Entertainment']",40%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
The Pitch,Seed,Medium,The Pitch,Seed,Medium,USA,12-2024,The Pitch is a pioneering company in Fintech.,"['SaaS', 'Healthtech']",35%,"{'seed': '50%', 'early': '15%', 'growth': '10%'}",88$
Tenon Ventures,Medium,Medium,Tenon Ventures,Medium,Medium,USA,03-2022,"Tenon Ventures is a venture capital firm that invests in growth-stage companies across various sectors, including SaaS, Fintech, and Healthtech.  They focus on companies with a proven track record and strong growth potential.","['SaaS', 'Fintech', 'Healthtech']",40%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
PaperJet Ventures,Seed+,Medium,PaperJet Ventures,Seed+,Medium,USA,Present,"PaperJet Ventures is a venture capital firm that invests in Seed+ stage companies.  They focus on early-stage startups with high growth potential, particularly within the technology sector.","['SaaS', 'Fintech', 'AI']",30%,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",150M$
Untapped Ventures,Medium,Medium,Untapped Ventures,Medium,Medium,USA,Present,"Untapped Ventures is a venture capital firm that invests in companies at various stages, focusing on sectors such as SaaS, Fintech, and AI.  They have a medium deal flow, suggesting a balanced investment strategy across different opportunities.","['SaaS', 'Fintech', 'AI']",40%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
271.vc,Seed,Medium,271.vc,Seed,Medium,USA,Present,"271.vc is a venture capital firm that invests in early-stage startups.  They focus on seed-stage companies and have a medium deal flow, suggesting a balanced portfolio approach.","['SaaS', 'Fintech', 'AI']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Banyan,Medium,Medium,Banyan,Medium,Medium,USA,07-2022,"Banyan is a growth-stage investment firm, focusing on companies in the SaaS, Fintech, and AI sectors. They invest in companies with strong potential for growth and market disruption.","['SaaS', 'Fintech', 'AI']",55%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",250M$
Seneca,Other,Medium,Seneca,Other,Medium,USA,Present,"Seneca is an investment firm with a focus on diverse sectors, spanning from established companies to emerging startups.  Their investment strategy adapts to the specific needs and opportunities presented by each company.","['SaaS', 'Fintech', 'Healthtech']",40%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Allen Bryant,Medium,Medium,Allen Bryant,Medium,Medium,USA,Present,"Allen Bryant is a mid-stage investment firm focusing on companies in the SaaS, Fintech, and Healthtech sectors.  They have a balanced portfolio with a focus on scalable businesses.","['SaaS', 'Fintech', 'Healthtech']",40%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Brinc,Seed,Medium,Brinc,Seed,Medium,USA,Present,"Brinc is a seed-stage investor focusing on early-stage startups with high growth potential.  They are known for investing in companies across various sectors, demonstrating a diversified portfolio strategy.","['AI', 'Fintech', 'SaaS']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
