Company,Stage,Dealflow,region,creation date,description,markets,follow on rate,number of deals (12months),investment by stage,market value
MAV Web3 syndicate,Seed,High,USA,03-2023,MAV Web3 syndicate is a VC firm investing in high-growth companies in the Web3 sector. They focus on early-stage investments and have a strong track record of successful exits.,"['Web3', 'Blockchain', 'Cryptocurrency']",36.0%,27.0,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
Syntax Ventures,Seed,High,USA,01-2024,Syntax Ventures is a venture capital firm that invests in seed-stage startups.  They focus on early-stage companies with high-growth potential.,"['SaaS', 'Fintech', 'AI']",30.0%,25.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",200M$
HyperGuap,Pre-Seed,High,USA,01-2024,"HyperGuap is a Pre-Seed stage company with a high deal flow, likely focusing on early-stage investments in the technology sector. More information is needed to provide a detailed description.",['Technology'],30.437908496732025%,30.0,"{'seed': '90%', 'early': '5%', 'growth': '5%'}",15M$
Jolt VC,Seed,High,USA,01-2024,"Jolt VC is a venture capital firm that invests in early-stage companies.  Their focus is on seed-stage investments with high growth potential, spanning various sectors.","['SaaS', 'Fintech', 'AI']",36.0%,25.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
2022 Ventures - Top Tier Early Stage Deals,Seed+,High,USA,01-2022,2022 Ventures - Top Tier Early Stage Deals is a venture capital firm specializing in seed and Series A investments in high-growth startups.  Their portfolio likely spans diverse sectors showing a focus on exceptional early-stage opportunities.,"['SaaS', 'Fintech', 'AI', 'Healthtech']",30.0%,22.0,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",180M$
Fundomo,Series A,High,Europe,01-2020,"Fundomo is a venture capital firm that invests in Series A startups, focusing on the SaaS and Fintech industries within Europe.  They have a high deal flow, indicating strong activity in sourcing and investing in promising companies.","['SaaS', 'Fintech']",40.0%,20.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Builders Capital,Seed,High,USA,03-2022,"Builders Capital is a venture capital firm that invests in early-stage companies.  They focus on high-growth potential in various sectors, providing seed funding and support to help startups scale.","['SaaS', 'Fintech', 'AI']",30.0%,22.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",180M$
Wild Ventures,Seed,Medium,USA,03-2022,"Wild Ventures is a venture capital firm that invests in early-stage startups.  They focus on companies with innovative ideas and high-growth potential, primarily in the technology sector.","['SaaS', 'Fintech', 'AI']",25.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",85M$
Suman Talukdar,Medium,Medium,India,01-2024,"Suman Talukdar is a mid-stage company with a medium deal flow, possibly operating in the SaaS or Fintech sectors within the Indian market.","['SaaS', 'Fintech']",40.0%,10.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Good News Ventures,Seed,Medium,USA,03-2022,Good News Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising startups.  They are known for their support of innovative companies across various sectors.,"['SaaS', 'Fintech', 'Healthtech']",25.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",95M$
Recursive Syndicate,Medium,Medium,USA,01-2024,"Recursive Syndicate is a venture capital firm that invests in companies at the Series A to Series C stages, focusing on sectors such as SaaS, Fintech, and AI.  They have a medium deal flow and a focus on scaling businesses.","['SaaS', 'Fintech', 'AI']",40.0%,10.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Companyon Ventures,Seed,Medium,USA,03-2022,"Companyon Ventures is a seed-stage venture capital firm that invests in a variety of sectors, including SaaS, Fintech, and AI.  They focus on early-stage companies with high-growth potential.","['SaaS', 'Fintech', 'AI']",28.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",95M$
Founders First,Medium,Medium,India,01-2024,"Founders First is an investment firm focusing on growth-stage companies.  They invest across various sectors, showcasing a diverse portfolio.","['SaaS', 'Fintech', 'Healthtech']",40.0%,12.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Everywhere Ventures,Seed,Medium,USA,03-2022,"Everywhere Ventures is a venture capital firm that invests in early-stage startups across various sectors, including SaaS, Fintech, and AI.  They focus on seed-stage companies with high growth potential and strong teams.","['SaaS', 'Fintech', 'AI']",28.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",85M$
Matt Slater (Stateless Ventures),Medium,Medium,UK,12-2024,Matt Slater (Stateless Ventures) is a pioneering company in AI.,"['AI', 'Fintech']",34.0%,26.0,"{'seed': '67%', 'early': '20%', 'growth': '11%'}",89$
WV,Seed+,Medium,USA,01-2022,"WV is a venture capital firm that invests in seed and Series A startups, with a focus on technology companies in the SaaS and Fintech sectors. They have a strong network of mentors and advisors who provide support to their portfolio companies.","['SaaS', 'Fintech']",30.0%,10.0,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",85M$
Harpoon Ventures,Medium,Medium,USA,01-2024,"Harpoon Ventures is a venture capital firm that invests in companies at the medium stage of development.  They likely focus on a variety of sectors, given the broad stage.","['SaaS', 'Fintech', 'Healthtech']",40.0%,10.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Darkmode Ventures,Seed,Medium,USA,07-2022,Darkmode Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising startups.  Their portfolio is diversified across various sectors.,"['SaaS', 'Fintech', 'AI']",20.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",95M$
Chaos Ventures,Medium,Medium,USA,03-2022,"Chaos Ventures is a venture capital firm that invests in companies across various stages, focusing on high-growth potential in sectors such as SaaS, Fintech, and AI.  They have a diverse portfolio reflecting their broad investment strategy.","['SaaS', 'Fintech', 'AI']",40.0%,18.0,"{'seed': '30%', 'early': '45%', 'growth': '25%'}",150M$
Ride Wave Ventures,Seed,Medium,USA,03-2022,"Ride Wave Ventures is a seed-stage venture capital firm that invests in promising startups.  They focus on companies with innovative ideas and high growth potential, particularly in the technology sector.","['SaaS', 'Fintech', 'AI']",25.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",85M$
Socially Financed,Medium,Medium,USA,02-2022,"Socially Financed is a mid-stage investment firm focusing on companies with a positive social impact across various sectors, including Fintech, SaaS, and sustainable technologies.  They invest in companies demonstrating strong growth potential and alignment with their values.","['Fintech', 'SaaS', 'Sustainability']",40.0%,10.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Spacecadet,Seed,Medium,USA,01-2024,Spacecadet is a seed-stage venture capital firm focusing on early-stage investments in high-growth potential companies.  They are likely to invest across a range of sectors.,"['SaaS', 'Fintech', 'AI']",25.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
Rief Ventures,Medium,Medium,USA,03-2022,Rief Ventures is a venture capital firm that focuses on mid-stage investments in technology companies.  They have a diverse portfolio spanning various sectors and demonstrate consistent activity in the market.,"['SaaS', 'Fintech', 'Healthtech']",40.0%,12.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
5 Eyes Ventures,Seed,Medium,USA,03-2022,5 Eyes Ventures is a venture capital firm that invests in seed-stage startups.  They focus on companies with innovative technologies and high-growth potential.,"['AI', 'SaaS', 'Fintech']",20.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",85M$
Xtripe Angels,Medium,Medium,USA,01-2024,"Xtripe Angels is a venture capital firm that focuses on mid-stage companies.  They have a diverse portfolio across various sectors, including SaaS and Fintech.","['SaaS', 'Fintech']",40.0%,10.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Banana Capital,Series D,Medium,USA,03-2015,Banana Capital is a venture capital firm that invests in growth-stage and late-stage companies across various sectors.  They have a particular focus on companies showing strong traction and potential for significant returns.,"['SaaS', 'Fintech', 'Healthtech']",65.0%,8.0,"{'seed': '10%', 'early': '15%', 'growth': '75%'}",575M$
Shelter Island Ventures,Medium,Medium,USA,01-2024,"Shelter Island Ventures is a venture capital firm that invests in companies at various stages of development, focusing on technology and innovative solutions.  They have a medium deal flow, suggesting a balanced approach to investment.","['SaaS', 'Fintech', 'AI']",40.0%,12.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
MKT1 Capital,Seed,Medium,USA,01-2024,"MKT1 Capital is a seed-stage investment firm focusing on early-stage companies.  They likely invest across a range of sectors, given the general nature of the name.","['SaaS', 'Fintech', 'AI']",20.0%,10.0,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Munch.VC,Medium,Medium,USA,03-2022,"Munch.VC is a venture capital firm that invests in companies at the medium stage across various sectors, including SaaS and Fintech.  They are known for supporting growth-oriented businesses with scalable solutions.","['SaaS', 'Fintech']",40.0%,10.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",180M$
Lightning ⚡️ Ventures,Seed,Medium,USA,03-2022,"Lightning ⚡️ Ventures is a venture capital firm that invests in early-stage startups.  They focus on seed-stage companies and have a medium deal flow, suggesting a balanced portfolio approach.","['SaaS', 'Fintech', 'AI']",28.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",95M$
HF Scale,Medium,Medium,USA,01-2024,"HF Scale is a venture capital firm that focuses on mid-stage investments in various sectors, including technology, healthcare, and finance.  They have a medium deal flow, suggesting a balanced investment strategy across a range of companies with moderate growth potential.","['Technology', 'Healthcare', 'Finance']",40.0%,12.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Australian Gulf Capital,Seed,Medium,UK,12-2024,Australian Gulf Capital is a pioneering company in AI.,"['AI', 'Fintech']",49.0%,13.0,"{'seed': '50%', 'early': '26%', 'growth': '6%'}",46$
Focalpoint Partners,Medium,Medium,USA,01-2024,"Focalpoint Partners is a mid-stage investment firm focusing on companies in various sectors including SaaS, Fintech, and Healthtech.  They have a balanced portfolio and support companies through their growth journey.","['SaaS', 'Fintech', 'Healthtech']",40.0%,10.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Mr. Wizard Ventures from Daniel Kagan,Seed,Medium,USA,01-2024,"Mr. Wizard Ventures from Daniel Kagan is a seed-stage venture capital firm focusing on early-stage investments.  They likely invest across a range of sectors, given the broad nature of the name.","['SaaS', 'Fintech', 'AI']",30.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
DataPower Ventures,Medium,Medium,USA,01-2024,"DataPower Ventures is a venture capital firm that invests in companies at the medium stage of development, focusing on various sectors including technology, healthcare, and finance.","['SaaS', 'Fintech', 'Healthtech']",40.0%,10.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
The Executive Venture Syndicate,Seed,Medium,USA,01-2022,"The Executive Venture Syndicate is a seed-stage venture capital firm focusing on early-stage investments in high-growth potential companies.  They have a broad investment mandate, but show a particular interest in technology and related sectors.","['SaaS', 'Fintech', 'AI']",20.0%,10.0,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",90M$
Iaso Ventures,Medium,Medium,Europe,01-2024,"Iaso Ventures is a venture capital firm that invests in companies at the growth stage, focusing on technology and healthcare sectors.","['SaaS', 'Healthtech']",40.0%,10.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Shane Feldberg,Seed,Medium,USA,01-2024,Shane Feldberg is a seed-stage investor focusing on early-stage companies.  They may invest across various sectors showcasing high-growth potential.,"['SaaS', 'Fintech', 'Healthtech']",20.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
Caravan Health Ventures,Medium,Medium,USA,01-2024,"Caravan Health Ventures is a venture capital firm that invests in companies in the healthcare industry, focusing on mid-stage companies with strong growth potential. Their investments span various areas within the healthtech sector, including medical devices, digital health solutions, and healthcare services.",['Healthtech'],40.0%,10.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Juniper,Seed+,Medium,USA,03-2022,"Juniper is a venture capital firm that invests in seed and Series A startups, focusing on the technology sector with an emphasis on AI, SaaS, and Fintech companies.  They have a particular interest in companies with innovative technologies and scalable business models.","['AI', 'SaaS', 'Fintech']",30.0%,12.0,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",150M$
JourneyOne Ventures,Medium,Medium,USA,02-2020,"JourneyOne Ventures is a venture capital firm that invests in companies at various stages of growth, focusing on technology and innovation. They have a portfolio of companies spanning different sectors, and their investments range from seed funding to Series B rounds.","['SaaS', 'Fintech', 'AI']",40.0%,18.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
The Healthcare Syndicate,Seed,Medium,USA,01-2022,The Healthcare Syndicate is a seed-stage venture capital firm specializing in early-stage investments in healthcare technology companies.  They focus on disruptive innovations with high growth potential within the healthtech sector.,['Healthtech'],25.0%,10.0,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",85M$
Giant Step Capital,Medium,Medium,USA,07-2019,"Giant Step Capital is a venture capital firm that invests in growth-stage companies across various sectors, including SaaS, Fintech, and AI.  They have a strong focus on scaling businesses and generating significant returns for their investors.","['SaaS', 'Fintech', 'AI']",40.0%,10.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
The Syndicate by BANA,Seed,Medium,USA,01-2024,"The Syndicate by BANA is a seed-stage investment firm focusing on early-stage companies.  They likely invest across a range of sectors, given the broad nature of 'syndicate' investments.","['SaaS', 'Fintech', 'Healthtech']",25.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
SHORVC,Medium,Medium,USA,01-2024,SHORVC is a venture capital firm that invests in companies at the medium stage across various sectors.  They focus on companies demonstrating significant growth potential.,"['SaaS', 'Fintech', 'Healthtech']",40.0%,10.0,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Rendered VC,Seed,Medium,USA,03-2022,"Rendered VC is a venture capital firm that invests in early-stage startups.  They focus on seed-stage companies and have a medium deal flow, indicating a balanced investment strategy.  Their portfolio likely includes companies across various sectors.","['SaaS', 'Fintech', 'AI']",20.0%,10.0,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Studio Management,Medium,Medium,UK,12-2024,Studio Management is a pioneering company in SaaS.,"['Healthtech', 'Fintech']",52.0%,18.0,"{'seed': '62%', 'early': '26%', 'growth': '15%'}",84$
The Pitch,Seed,Medium,USA,01-2024,The Pitch is a seed-stage investment firm focusing on early-stage startups.  They likely invest across a range of sectors showing high growth potential.,"['SaaS', 'Fintech', 'Healthtech']",20.0%,10.0,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Tenon Ventures,Medium,Medium,USA,01-2024,"Tenon Ventures is a venture capital firm that invests in companies at the medium stage of development, focusing on various sectors including SaaS and Fintech.","['SaaS', 'Fintech']",40.0%,12.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
PaperJet Ventures,Seed+,Medium,USA,03-2022,"PaperJet Ventures is a venture capital firm that invests in seed and Series A startups.  They focus on companies in the SaaS and Fintech sectors, with a particular interest in innovative technologies.","['SaaS', 'Fintech']",30.0%,10.0,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",95M$
Untapped Ventures,Medium,Medium,USA,07-2022,"Untapped Ventures is a venture capital firm that invests in companies at various stages, focusing on sectors such as SaaS, Fintech, and Healthtech.  They have a medium deal flow, suggesting a balanced approach to investment selection and portfolio management.","['SaaS', 'Fintech', 'Healthtech']",40.0%,10.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
271.vc,Seed,Medium,USA,03-2022,"271.vc is a venture capital firm that invests in early-stage startups.  They focus on seed-stage companies with high growth potential, primarily in the technology sector.","['SaaS', 'Fintech', 'AI']",20.0%,10.0,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",95M$
Banyan,Medium,Medium,USA,01-2024,"Banyan is a company at a medium stage of development, focusing on investments and potentially operating in various markets. More information is needed to provide a detailed description.",['Unspecified'],40.0%,10.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Seneca,Other,Medium,USA,01-2024,"Seneca is an investment firm focusing on companies at various stages, with a diverse portfolio spanning multiple sectors.  They have a medium deal flow, suggesting a balanced approach to investment.","['SaaS', 'Fintech', 'Healthtech']",40.0%,12.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Allen Bryant,Medium,Medium,USA,01-2024,"Allen Bryant is a firm that invests in companies at the medium stage, focusing on a range of sectors and technologies.","['SaaS', 'Fintech', 'Healthtech']",40.0%,10.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Brinc,Seed,Medium,USA,01-2024,Brinc is a seed-stage venture capital firm that invests in a range of high-growth companies.  Their portfolio likely includes companies across various sectors demonstrating significant potential.,"['AI', 'Fintech', 'SaaS']",28.0%,10.0,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",85M$
Katha VC // Sahith Aula,Medium,Medium,India,01-2024,"Katha VC // Sahith Aula is a venture capital firm that invests in companies at the medium stage, focusing on a range of sectors.","['SaaS', 'Fintech', 'Healthtech']",40.0%,10.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Beyond Earth Technologies,Seed,Medium,USA,03-2022,"Beyond Earth Technologies is a seed-stage company focused on developing innovative technologies.  They are likely targeting the sustainable technology or space exploration markets, given their name.","['Cleantech', 'Spacetech']",25.0%,10.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
Cobble Hill Ventures,Medium,Medium,USA,01-2015,"Cobble Hill Ventures is a venture capital firm that invests in companies at different stages of growth, focusing on technology and healthcare sectors.  They have a medium deal flow, indicating a balanced approach to investment.","['SaaS', 'Fintech', 'Healthtech']",40.0%,10.0,"{'seed': '30%', 'early': '45%', 'growth': '25%'}",150M$
Duro Ventures,Series B,Low,USA,03-2015,"Duro Ventures is a venture capital firm that invests in growth-stage companies across various sectors.  They focus on Series B investments and beyond, providing capital and strategic guidance to help their portfolio companies scale.","['SaaS', 'Fintech', 'Healthtech']",55.0%,5.0,"{'seed': '10%', 'early': '25%', 'growth': '65%'}",350M$
Barney Pell,Medium,Low,USA,01-2024,"Barney Pell is a venture capitalist firm focusing on mid-stage investments, with a portfolio encompassing diverse sectors including SaaS, Fintech, and AI.  They have a proven track record of supporting companies through their growth trajectory.","['SaaS', 'Fintech', 'AI']",40.0%,8.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Capital Factory,Seed,Low,USA,01-2013,Capital Factory is an early-stage investor focused on supporting innovative startups.  Their seed investments concentrate on companies with high growth potential in various sectors.,"['SaaS', 'Fintech', 'AI']",20.0%,3.0,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Inovexus Ventures,Medium,Low,Europe,01-2024,"Inovexus Ventures is a venture capital firm that invests in companies at the medium stage across various sectors, focusing on European markets.  They have a measured deal flow and a portfolio of promising mid-stage businesses.","['SaaS', 'Fintech', 'Healthtech']",35.0%,8.0,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",150M$
500 Global,Seed+,Low,USA,01-2010,"500 Global is a global venture capital firm investing in early-stage startups across various sectors, including SaaS, Fintech, and AI.  They have a particular focus on Seed+ investments and support companies with high-growth potential.","['SaaS', 'Fintech', 'AI']",25.0%,8.0,"{'seed': '60%', 'early': '35%', 'growth': '5%'}",150M$
Nelstone Ventures,Medium,Low,USA,01-2024,"Nelstone Ventures is a venture capital firm that invests in companies at the medium stage of development.  They likely focus on a range of sectors, given their stage and low deal flow.","['SaaS', 'Fintech', 'Healthtech']",40.0%,8.0,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
