Company,Stage,Dealflow,region,follow on rate,number of deals (12months),market value,creation year,company age,access,across,active,activity,address,advalorem,advancement,advisor,alignment,allen,allied,amara,american,angel,ankur,appear,application,approach,area,arkstons,asian,atman,aula,austin,australian,ayuh,bakhai,balanced,bana,banana,banyan,barney,based,beard,benjamin,better,beyond,bitcoin,boring,brinc,broad,bryant,builder,buildtech,business,cabra,caisson,calculated,calm,capital,capitalist,caravan,cavallon,center,chaos,characterized,circle,cleantech,climate,club,cobble,collective,columbia,commitment,community,company,companyon,concentrate,concentrated,concentrating,consistent,construction,consumer,cool,cornell,cove,cryptocurrency,cutting,daniel,darkmode,datapower,daydream,deal,demonstrate,demonstrated,demonstrating,detailed,developing,development,device,different,digital,disruptive,diverse,diversified,dragon,duro,dvc,early,earth,edge,education,electric,emerging,emphasis,encompassing,enduring,energy,engineering,established,estate,europe,european,everywhere,evolutionary,exceptional,executive,exit,exitfund,expansion,exploration,eye,factory,feldberg,finance,financed,fintech,firm,first,flight,flow,focalpoint,focus,focused,focusing,founded,founder,fractal,freedom,frontierspace,fund,funding,fundomo,galactic,general,generating,giant,ginsburg,given,global,gold,gonio,good,goodtech,great,grow,growth,guidance,gulf,hanna,harpoon,health,healthcare,healthtech,help,hero,high,hill,howie,hyperguap,iaso,idea,ikigai,impact,includes,including,india,indian,indicating,industry,information,innovation,innovative,inovexus,intbox,interest,interested,intersection,inuka,invest,investing,investment,investor,invests,involvement,island,islander,jake,jessie,jolt,journey,journeyone,juniper,kagan,katha,keen,kindergarten,known,kube,landscape,late,leader,leap,led,leveraging,lightning,likely,low,majic,mana,management,mandate,market,matt,mav,maverick,may,maya,mba,meandros,measured,med,medical,medium,melzi,mentor,mid,middle,mkt,model,moderate,multiple,munch,mute,myasiavc,mycelorium,nagpal,name,nature,need,needed,nelstone,ness,network,new,newlin,newly,news,niche,nomad,nordic,nyu,offering,ollie,operate,operating,opportunity,oriented,pacific,palumni,paperjet,particular,particularly,partner,partnership,passionate,pell,pete,pioneering,pirque,pitch,portfolio,positive,possibly,potential,potentially,potluck,pre,prestigious,primarily,prithvi,product,prominent,promising,proptech,proven,provide,providing,range,real,record,recursive,red,reflecting,region,reinforced,related,rendered,resource,return,revere,rhone,riceberg,ride,rief,riverside,rob,round,saas,saasholic,sahith,scalability,scalable,scale,scaling,scvc,sector,seed,seid,selection,selective,selectivity,seneca,series,service,several,shane,shelter,shorvc,show,showcasing,showing,significant,slater,sober,social,socially,soderling,sola,solution,sourcing,space,spacecadet,span,spanning,specialize,specializing,stage,stardust,startup,stateless,step,storied,strategic,strategy,strong,studio,successful,suggesting,sum,suman,sunflower,superangel,support,supporting,sustainability,sustainable,syndicate,syntax,talukdar,targeting,tdv,team,tech,technological,technology,ten,tenon,textbook,tier,top,topazprop,track,traction,trajectory,tremis,typical,ujwal,umami,undefined,university,unknown,unpopular,untapped,unwritten,value,variety,various,ventioneers,venture,view,walker,wave,web,wild,within,wizard,work,wuri,xtripe,youth,zachary,Stage_Medium,Stage_Other,Stage_Pre-Seed,Stage_Seed,Stage_Seed+,Stage_Series A,Stage_Series B,Stage_Series D,Dealflow_High,Dealflow_Low,Dealflow_Medium,Dealflow_New,region_Europe,region_India,region_UK,region_USA,region_Unknown,region_0.0,region_0.2969175292459349,AI,AI / ML,Biotech,Blockchain,Cleantech,Construction Technology,Consumer Goods,Consumer Product,Consumer Products,Cryptocurrency,E-commerce,EdTech,Energy,Finance,Fintech,Healthcare,Healthtech,Medical Technology,Real Estate Tech,Real Estate Technology,Renewable Energy,SaaS,Social Impact,Spacetech,Sustainability,Sustainability Tech,Sustainable Technology,Technology,Unknown,Unspecified,Web3,seed_investment,early_investment,growth_investment
Recursive Syndicate,Medium,Medium,USA,40.00%,-0.171870125,0.363558568,2024,-0.62337208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293546291,0,0,0,0,0.100185911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086689588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192078627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184117291,0.08943033,0,0,0.194203553,0,0.142631361,0,0.13937683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133250889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208343489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418366139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173525185,0,0,0,0,0,0.38692032,0,0.098286511,0,0,0,0,0,0,0.479578616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090554334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257095191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100185911,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.3,0.6
Companyon Ventures,Seed,Medium,USA,28.00%,-0.171870125,-0.282629934,2022,0.300142113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123715614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107049539,0.51662378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190892756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227359153,0.110433973,0,0,0,0,0.17612982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162151884,0,0,0,0,0,0,0,0,0,0.183227104,0,0,0,0,0,0,0,0,0.270979823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164546247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186220145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21427938,0,0,0,0,0,0,0,0.121370121,0.155308294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223643923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428871061,0,0,0.247431228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7,0.2,0.1
Founders First,Medium,Medium,India,40.00%,0.071485804,0.363558568,2024,-0.62337208,0,0.186959841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098701224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318120665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101821721,0.476334601,0,0,0,0,0,0.158688767,0,0.415129096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149506384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268706099,0,0.135428775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249847319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111905008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440531675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103101467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163664781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.3,0.6
Everywhere Ventures,Seed,Medium,USA,28.00%,-0.171870125,-0.400118753,2022,0.300142113,0,0.182429475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111303528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09630952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17174095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464792174,0,0,0,0,0,0,0,0,0,0,0,0,0.204548763,0.099354402,0,0,0,0,0.158459144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145883581,0,0,0,0,0,0,0,0,0,0.164844375,0,0,0,0,0,0,0,0,0.243793078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148037723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167537132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192781252,0,0,0,0,0,0,0,0.109193352,0.139726591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201206273,0,0.190967265,0,0,0,0,0,0.243793078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429856816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159698895,0,0.222607055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7,0.2,0.1
Matt Slater (Stateless Ventures),Medium,Medium,UK,34.00%,1.77497731,-0.353123226,2024,-0.62337208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108423664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523255338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388786386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523255338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523255338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12530367,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.2,0.11
WV,Seed+,Medium,USA,30.00%,-0.171870125,-0.400118753,2022,0.300142113,0,0,0,0,0,0,0,0.363058966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099759955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172642028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183334489,0.089050104,0,0,0,0,0.142024942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132684353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363058966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331746844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218508676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363058966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172787417,0,0,0,0,0,0,0,0.097868631,0.12523519,0,0,0,0,0,0.238769808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171161563,0,0,0,0,0,0.218508676,0,0,0,0,0,0,0,0.319842528,0,0,0,0,0,0,0,0,0,0,0,0.162065745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099759955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6,0.3,0.1
Harpoon Ventures,Medium,Medium,USA,40.00%,-0.171870125,0.363558568,2024,-0.62337208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309224929,0,0,0,0,0,0,0,0,0.113397271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098121209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332255784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101223368,0,0,0,0,0.161439937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341504538,0,0,0,0,0,0,0,0,0,0,0,0.473535431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150822477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235817421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235817421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111247401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204991187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393101616,0,0,0.226794542,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0.35,0.5
Darkmode Ventures,Seed,Medium,USA,20.00%,-0.171870125,-0.282629934,2022,0.300142113,0,0.19544555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119244871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497954414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46052647,0,0,0,0.183994416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106443193,0,0,0,0,0,0,0.165891312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141575598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261187356,0,0,0,0,0,0,0,0,0,0,0,0.340591389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116984138,0.149695879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215562046,0,0.204592499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171093177,0,0.238489743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7,0.2,0.1
Chaos Ventures,Medium,Medium,USA,40.00%,0.801553592,0.363558568,2022,0.300142113,0,0.170185666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283144935,0,0,0,0,0,0,0,0,0.103833358,0,0,0,0,0.433597509,0,0,0,0,0,0,0,0,0,0,0.089845678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289578644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190820412,0.092686201,0,0,0,0,0,0,0.144451094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136092561,0,0,0,0,0,0,0,0,0,0.153780796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123278005,0,0.138102127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227430833,0,0,0.156292827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433597509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179842681,0,0,0,0,0,0,0,0.101864808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093851127,0,0,0,0,0,0,0.27718825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148980656,0,0.207666717,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3,0.45,0.25
Ride Wave Ventures,Seed,Medium,USA,25.00%,-0.171870125,-0.400118753,2022,0.300142113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102000214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088259481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091049856,0,0,0,0,0.145214324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13368989,0,0,0,0,0,0,0,0,0,0.151065845,0,0,0,0,0.353592714,0,0,0,0,0,0,0,0,0,0,0.217564093,0,0,0,0,0,0,0,0,0,0,0.135663978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339196713,0,0,0,0,0,0,0,0,0,0,0,0.153533527,0,0,0,0,0,0,0,0,0.291336592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425942483,0,0,0,0,0,0,0,0,0,0,0,0,0.100066417,0.128047533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092194215,0,0.175005251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165705173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204000427,0,0,0.425942483,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7,0.2,0.1
Socially Financed,Medium,Medium,USA,40.00%,-0.171870125,0.363558568,2022,0.300142113,0,0.120466629,0,0,0,0,0,0,0.306923794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127195271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23564631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306923794,0.13507302,0.065608312,0,0,0,0,0,0,0.102250306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096333683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28385436,0,0.160987858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173139418,0,0.087262847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175915394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306923794,0,0.110632526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127302387,0,0,0,0,0,0,0,0.072105427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28385436,0.306923794,0,0,0,0,0,0,0,0,0,0,0.066432909,0,0,0,0,0,0,0,0.160987858,0,0,0,0,0,0,0,0,0,0,0.23564631,0,0,0,0,0,0,0,0,0.119403117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306923794,0,0.105456575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.15,0.35,0.5
